Date,DocumentWeight,Amount Awarded,Identifier,Topic
1998,0.0,0.0,0,topic0
1999,0.0,0.0,0,topic0
2000,0.0,0.0,0,topic0
2001,0.0,0.0,0,topic0
2002,0.0,0.0,0,topic0
2003,0.0,0.0,0,topic0
2004,0.0,0.0,0,topic0
2005,0.0,0.0,0,topic0
2006,0.0,0.0,0,topic0
2007,0.0,0.0,0,topic0
2008,0.0,0.0,0,topic0
2009,0.0,0.0,0,topic0
2010,0.0,0.0,0,topic0
2011,0.0,0.0,0,topic0
2012,0.0,0.0,0,topic0
2013,0.0,0.0,0,topic0
2014,0.0,0.0,0,topic0
2015,0.0,0.0,0,topic0
2016,0.0,0.0,0,topic0
2017,0.0,0.0,0,topic0
2018,0.0,0.0,0,topic0
1998,0.0,0.0,0,topic1
1999,0.0,0.0,0,topic1
2000,0.0,0.0,0,topic1
2001,0.0,0.0,0,topic1
2002,0.0,0.0,0,topic1
2003,0.0,0.0,0,topic1
2004,0.0,0.0,0,topic1
2005,0.0,0.0,0,topic1
2006,0.0,0.0,0,topic1
2007,0.0621644813526,550000.0,2,topic1
2008,0.0,0.0,0,topic1
2009,0.0,0.0,0,topic1
2010,0.0,0.0,0,topic1
2011,0.0,0.0,0,topic1
2012,0.0,0.0,0,topic1
2013,0.0,0.0,0,topic1
2014,0.0,0.0,0,topic1
2015,0.0,0.0,0,topic1
2016,0.0275629588467,244422.0,1,topic1
2017,0.0,0.0,0,topic1
2018,0.0,0.0,0,topic1
1998,0.0,0.0,0,topic2
1999,0.0,0.0,0,topic2
2000,0.0,0.0,0,topic2
2001,0.0,0.0,0,topic2
2002,0.0,0.0,0,topic2
2003,0.0,0.0,0,topic2
2004,0.0,0.0,0,topic2
2005,0.0,0.0,0,topic2
2006,0.0,0.0,0,topic2
2007,0.0,0.0,0,topic2
2008,0.0,0.0,0,topic2
2009,0.0,0.0,0,topic2
2010,0.0,0.0,0,topic2
2011,0.0,0.0,0,topic2
2012,0.0,0.0,0,topic2
2013,0.0,0.0,0,topic2
2014,0.0,0.0,0,topic2
2015,0.0,0.0,0,topic2
2016,0.0,0.0,0,topic2
2017,0.0,0.0,0,topic2
2018,0.0,0.0,0,topic2
1998,0.0,0.0,0,topic3
1999,0.0,0.0,0,topic3
2000,0.0,0.0,0,topic3
2001,0.0,0.0,0,topic3
2002,0.0,0.0,0,topic3
2003,0.0,0.0,0,topic3
2004,0.0,0.0,0,topic3
2005,0.0,0.0,0,topic3
2006,0.0,0.0,0,topic3
2007,0.0,0.0,0,topic3
2008,0.0,0.0,0,topic3
2009,0.0,0.0,0,topic3
2010,0.0,0.0,0,topic3
2011,0.0,0.0,0,topic3
2012,0.0,0.0,0,topic3
2013,0.0,0.0,0,topic3
2014,0.0,0.0,0,topic3
2015,0.0,0.0,0,topic3
2016,0.0,0.0,0,topic3
2017,0.0,0.0,0,topic3
2018,0.0,0.0,0,topic3
1998,0.0,0.0,0,topic4
1999,0.0,0.0,0,topic4
2000,0.0,0.0,0,topic4
2001,0.0,0.0,0,topic4
2002,0.0,0.0,0,topic4
2003,0.0,0.0,0,topic4
2004,0.0,0.0,0,topic4
2005,0.0,0.0,0,topic4
2006,0.0,0.0,0,topic4
2007,0.0,0.0,0,topic4
2008,0.0,0.0,0,topic4
2009,0.0,0.0,0,topic4
2010,0.0,0.0,0,topic4
2011,0.0,0.0,0,topic4
2012,0.0,0.0,0,topic4
2013,0.0,0.0,0,topic4
2014,0.0,0.0,0,topic4
2015,0.0,0.0,0,topic4
2016,0.0,0.0,0,topic4
2017,0.0,0.0,0,topic4
2018,0.0,0.0,0,topic4
1998,0.0,0.0,0,topic5
1999,0.0,0.0,0,topic5
2000,0.0,0.0,0,topic5
2001,0.0,0.0,0,topic5
2002,0.0,0.0,0,topic5
2003,0.0,0.0,0,topic5
2004,0.0,0.0,0,topic5
2005,0.0,0.0,0,topic5
2006,0.0,0.0,0,topic5
2007,0.0,0.0,0,topic5
2008,0.0,0.0,0,topic5
2009,0.0,0.0,0,topic5
2010,0.0,0.0,0,topic5
2011,0.0,0.0,0,topic5
2012,0.0,0.0,0,topic5
